ellipsis,name,price
…,"
                        建予园3居室-02卧
                                ",
编导制作,"
                        安德里北街25号院3居室-03卧
                                ",
设计,"
                        和平里七区3居室-03卧
                                ",
艺人/经纪人,"
                        丽水湾畔家园4居室-02卧
                                ",
…,"
                        华龙美晟3居室-03卧
                                ",
运营/编辑,"
                        管村26号院3居室-03卧
                                ",
高管,"
                        青年湖北里3居室-02卧
                                ",
…,"
                        管村26号院3居室-03卧
                                ",
...,"
                        胡家园小区3居室-02卧
                                ",
…,"
                        华龙美晟3居室-02卧
                                ",
人力HR,"
                        和平里一区3居室-03卧
                                ",
编导制作,"
                        安德里北街25号院3居室-02卧
                                ",
销售,"
                        永合馨苑3居室-03卧
                                ",
…,"
                        华龙美晟3居室-03卧
                                ",
未知,"
                        华龙美晟3居室-03卧
                                ",
…,"
                        华龙美晟3居室-01卧
                                ",
医生,"
                        望陶园小区3居室-03卧
                                ",
…,"
                        华龙美晟3居室-02卧
                                ",
ellipsis,name,price
…,"
                        建予园3居室-02卧
                                ",
